review,sentiment
"Brian Keith as Cole Wlikerson and Richard Jaeckel as Wade Matlock make excellent villains. They just love intimidating the locals in the most brutal way possible, and sneer sexily at any suggestion that there might be a more humane way to achieve their ends. It's a pity that goody-goody Glenn Ford gets in their way.",positive
"I'm sure this is a show no one is that familiar of and might not think good of it; after all it is almost close to Baywatch Hawaii. With the cast, the location, style of the directing and its publicity  shows women walking around on the beach and all that. No wonder people have misconception and decide not to watch it.<br /><br />It was wrong of them to do that. Cause after I decide to watch the show, there are actually more thing going on, real juicy story and conflict, turn out to be really exciting to watch and pretty much  addictive.<br /><br />The story of the hotel clerks, the manager, the owner and their complicated love life. Also enter the troublesome hotel's visitor and powerful man trying to steal the hotel. It actually more exciting than it sounds here.<br /><br />I won't deny that the acting suck but it ain't that bad that you'll look away. The story is not so consistence but good enough. The soundtrack is fitting pretty well with the scenario and the action is all the time. I took me couple of episode before there is actually anything happen solidly so be patience.<br /><br />Recommendation: I Really Do Enjoy Watching This. Zillion Times Better Than Expected.<br /><br />Rating: 7.5/10 (Grade: B)<br /><br />Please Rate My Review After Reading It, Thanks.",positive
"I was prepared for a bad movie, and a bad movie it is, so I guess I shouldn't complain. Twentysomething Tom (gay poster boy Robert Stadlober) has so many issues he doesn't know if he's coming or going. I wouldn't have stayed but for the pretty girls: Serious Mavie (Anna Brüggemann); no-nonsense Angie (Emma Daubas); Sarah Baumann as the star of the movie within the movie. And then there's Tom's soul mate, wild-eyed Margarete (Jana Pallaske). She reminds me of Béatrice Dalle and Gina Gershon. If you've got to remember, these are fine memories. She looks good even in the most ridiculous outfits, and I mean ridiculous, even by Berlin standards. I wonder whether I'd have liked this movie when I was the characters' age. My guess is I wouldn't. Watch out for indie idols Oli Schulz and Max Schröder of ""Der Hund Marie"" performing as street musicians, feeling no pain.",negative
"As the film opens, two thugs kill another thug. When the body is discovered and about to be autopsied, the doctor realizes that although the man was shot dead, he was also suffering from the Pneumonic plague--a very nasty and more virulent version of the Bubonic plague! So, it's a race against time to find those who came in contact with the dead man and treat them immediately, otherwise a disaster could erupt.<br /><br />Oddly, I actually know quite a bit about the Pneumonic plague, as I taught a series of lectures on it for my history classes. The film really did not do a good job of getting the facts right about the disease in that it looked little like what the people had in the movie. The biggest problem is that this illness is so incredibly grotesque that in 1950 they really wouldn't have been allowed to show it. Sure, there is high fever and coughing (they got this right) but also lots of bleeding and explosive vomiting of blackened blood--along with the enormously swollen lymph nodes like you'd get with the Bubonic plague--all purply and gross! I can certainly understand why they didn't go this far. Also, I am sure that the federal government would have had a much, much greater involvement in controlling and treating the disease--here in the film it was handled on a very local level and everyone seemed ill-prepared and a bit dumb. No one seemed willing to believe the doctors!! As for the acting, the film had some excellent actors here. Richard Widmark and Paul Douglas are, respectively, the public health doctor and police chief. Good actors but also known actors back in 1950. However, in his first film is the very menacing Jack Palance (still going by his original moniker, 'Walter Jack Palance') as well as the relatively unknown (at the time) Zero Mostel. Palance was great--very scary and very physically adept in his own stunts. Mostel played a heavy typical of his early work--a greasy and cowardly sort of evil.<br /><br />Overall, despite really not getting the details right and wrapping everything up a little too neatly, the film is very tense and has excellent acting--and is well worth seeing.",positive
"Growing up with the Beast Wars transformers, I wasn't very familiar with the original Transformers, and now that I have seen the awesome movie, and now that I have seen the older cartoon on which it's based, I have to say I like the original cartoon and the live action movie more than Beast Wars.<br /><br />Not that I don't like the BW characters, I just think that characters like Optimus Prime are better than Optimus Primal.<br /><br />I mean, ""AUTOBOTS TRANSFORM AND ROLL OUT!"" sounds a lot better than ""MAXIMALS MAXIMIZE!"" The voice of the original Optimus Prime still makes me a strong believer that he's a real commander, more so than Optimus Primal.<br /><br />Besides, Powermaster Optimus Prime is a lot more powerful than Optimal Optimus. Just look on the web! <br /><br />Megatron in the BW character seemed more like a humorous version of the more evil version of him in the original series.<br /><br />Besides what's cooler, robots changing into animals or robots changing into vehicles and spaceships? Gimme the original Transformers any day over Beast Wars!",negative
"It is difficult to imagine how the engaging Dan Brown novel ""Angels and Demons"" could misfire as badly as this film version. Here are ten reasons why the film was a failure. Due to the spoilers, please do no read on unless you have already seen the film.<br /><br />(1) In the film, there was no love relationship between Robert Langdon and Vittoria Vetra. Worse still, there was not even any chemistry between the two leading actors. <br /><br />(2) The breathtaking locations in Rome, as described in the novel, were not realized visually in the film. I am aware that director Ron Howard encountered difficulties in filming on location. But there are superior photographed depictions of Rome on The History Channel than in this film where the Eternal City was presented in eternal stock film footage. The great art works described in the novel were only briefly depicted in the film. The magnificent Bernini sculpture of the ""Ecstasy of St. Teresa"" was only momentarily glimpsed, and the West Ponente relief in Vatican Square was not visible at all.<br /><br />(3) The most tasteless choice made by the film-maker was in the depiction of the deceased pope who actually resembled the beloved John Paul II. In the novel, the pope is clearly fictional with no resemblance to any real pope.<br /><br />(4) One of the most colorful (and important) characters of the novel, Maximilian Kohler, Director of CERN, was cut out of the screenplay.<br /><br />(5) There were numerous instances when the lines of dialog were inaudible due to extraneous background noise.<br /><br />(6) There were moments when the faces of characters were not visible due to the shadows and chiaroscuro film lighting. This technique worked in ""The Godfather"" films, but Ron Howard is no Gordon Willis.<br /><br />(7) The College of Cardinals was quite a motley crew with one of the electors speaking in a Southern drawl. This dude would have been more at home on a Texas ranch than in the Sistine Chapel.<br /><br />(8) The crucial relationship of the Camerlengo and the deceased Pope was not defined in the film. This relationship was central to the theme of science vs. religion and the relevance of the Illuminati to the plot against the church.<br /><br />(9) In the novel, the character of Hassassin was an unforgettable villain. In the film, that assassin character's role was a cardboard cutout villain. <br /><br />(10) As a whole, the filmmakers did not trust the workings of the successful novel.<br /><br />In the novel, Langdon makes an impossible fall out of the sky and into the Tiber River. In Ron Howard's film, it was the movie itself that landed in the Tiber.",negative
"Jonathan Demme's directorial debut for Roger Corman's legendary exploitation outfit New World Pictures rates highly as one of the finest chicks-in-chains 70's grindhouse classics to ever grace celluloid. Beauteous Russ Meyer starlet Eric (""Vixen,"" ""Beyond the Valley of the Dolls"") Gavin gives a robust, winning performance as a brassy, resilient new fish who does her best to persevere in a grimy, hellish penitentiary. The always fabulous Barbara Steele offers a deliciously wicked portrayal as the mean, crippled, sexually frustrated warden (her erotic dream about doing a slow, steamy striptease in front of the lady inmates is a real dilly). Longtime favorite 70's B-movie actress Roberta (""The Arousers,"" ""Unholy Rollers"") Collins delivers a hilariously raunchy and endearing turn as a cheerfully forward, foul-mouthed kleptomaniac felon who tells a gut-busting dirty joke about Pinnochio. Lynda Gold (a.k.a. Crystin Sinclaire of Tobe Hooper's ""Eaten Alive"" and Curtis Harrington's ""Ruby"") makes her lively film debut as uninhibited wildcat Crazy Alice. And the ever-cuddly Cheryl ""Rainbeaux"" Smith does a lovely, touching reprise of her fragile frightened innocent role from ""Lemora: A Child's Tale of the Supernatural."" <br /><br />Although this picture does deliver the expected ample amount of coarse language, nudity, rape and violence, it's still by no means a typically crass and sexist piece of lurid mindless filth; the movie very effectively explores the many ways in which men cruelly exploit women and strongly asserts the pro-feminist notion that women can overcome any obstacles if they band together into a group so they can bravely face their misogynistic oppressors as one mighty fighting force. Demme's zesty, confidant direction comes through with a glorious abundance of astutely observed incidental details and delightful moments of engagingly quirky human behavior. Furthermore, both Tak Fujimoto's vibrant cinematography and John Cale's marvelously dolorous oddball blues score are 100% on the money excellent. Patrick Wright (Sheriff Mack in the uproariously awful cheap-rubber-monster-suit creature feature howler ""Track of the Moonbeast"") has a sidesplitting bit as a jerky cop who has his car stolen by a trio of prison escapees when he stops at a gas station to use the bathroom. Lively, rousing and immensely enjoyable, ""Caged Heat"" qualifies as absolutely essential viewing for 70's drive-in movie fans.",positive
"Ann-Margret did the best job she has ever done in her history of film making. I felt as if she WAS Mrs. Frey. There might be one or two films of Ann-Margret's I have not seen since her film debut in ""Pocket full of Miracles"" with Betty Davis in 1961. I feel she has been totally under-rated in the industry. Though she was nominated for an Emmy Award for this role in ""Who Will Love My Children,"" she was overlooked. Like she was nominated for an Academy Award for her roles in ""Carnal Knowledge"" and ""Tommy,"" she was snubbed. Over all, I think everyone did a superb acting job including all the children in ""Who Will Love My Children."" Yes, it is a sad movie (as true stories can be), but well worth the time. Thank you.",positive
"Well I don't know where to begin. Obviously this was a made for TV movie, so my expectations were low. I was pleasantly surprised by the overall direction of the second hour, but anything before or after that seemed to be a paint by the numbers sort of movie.<br /><br />And talk about bad chemistry between the tow lovebird detectives. ..<br /><br />I would go more in depth, but this movie doesn't really deserve it. Grade: D+ (IMDB rating 3/10)",negative
"I think its time for Seagal to go quietly into the night. What I have just seen makes all his direct to video releases in the last few years look like his early 90's smash hits in comparison.<br /><br />A secret bio lab is making a new kind of drug that jacks up a human's adrenaline system to the point where they become psychopathic killers or something. Somehow Seagal is supposed to stop the infection or its the end of the world...or something. Seagal also went through hit squads like jellybeans, every time I look up he was commanding a new face so it kinda got hard to follow character development as well I know Steven's athsma prevent him from yelling at the top of his lungs but even so why is he constantly being dubbed by people who sound nothing like him? Usually the films plot and action sequences can save it from being a total waste of time but this was not even close. Like I said, it was more of a horror movie with a lot of blood and shank stabbing rather than straight up fighting. The problem was it wasn't really scary and Seagal looked completely out of place because the infected people were supposed to have speed of light movement yet the 40 year old 280 lb Seagal killed them all singlehandedly? I guess the lone highlight of the movie was the first 20 minutes where the new recruits ask Seagal to come to the strip club with them.<br /><br />2 out of 10",negative
"Repugnant Bronson thriller. Unfortunately, it's technically good and I gave it 4/10, but it's so utterly vile that it would be inconceivable to call it ""entertainment"". Far more disturbing than a typical slasher film.",negative
"I see that C. Thomas Howell has appeared in many movies since his heyday in the 80s as an accomplished young actor.<br /><br />I bought this DVD because it was cheap and in part for the internet-related plot and to see how much older C. Thomas Howell is; I do not recall seeing him in any movies since the 1980s.<br /><br />In just a few words: what a very big disappointment. I give some low budget movies a chance, but this one started out lame. Within the first 15 minutes of the movie, this elusive woman is chatting with an Asian guy in a chatroom. They basically stimulate themselves to their own chat, she then insists on meeting the participant in person. She meets him, has sex, ties him up and then murders him in cold blood. The plot then deteriorates further.<br /><br />The plot is thin and flimsy and the acting is very stiff. Do not bother renting it much less purchasing it, even if it is in the $1 DVD bin. I plan to take my copy of the DVD to Goodwill. I am truly amazed that any of the prior reviewers here gave this movie a bad rating.",negative
"The only real highlight in the movie is the death of the sniveling guy and the reaction of the surviving characters to it.<br /><br />In every other way, this film is a very lame rip-off of Jaws, Lake Placid, and Alligator, with a little bit of Godzilla (1998) thrown in.<br /><br />As is standard for a 1990's-style horror movie, the two non-starring females each take their clothes off at least once. The female lead doesn't, since she obviously has a better agent. <br /><br />The whole movie surrounds the filming of a really dumb extreme sport called blood surfing, in which surfers cut themselves and surf in shark-infested waters. In this film, a giant salt-water crocodile also happens to be in the area. People get eaten. The movie ends.<br /><br />I don't mind a bad horror movie, but I really hate a dull bad horror movie, which this definitely is.",negative
"The movie is good and I think Tiffany Amber is very beautiful. I liked the movie. Can anyone tell me how I can get hold of the songs from this movie? Even the soundtrack will do. If that's not possible, can I at least get the names of the songs with their respective singers? I tried to look up amazon.com but its not there. I tried CD baby, not there either. I browsed through Google to get some details but there weren't any. I would appreciate it if someone could give me the answer to my question. I know that the songs belong to Country Music and is sung by a country artist. I just need the title names along with the singer. I would recommend this movie or rather the songs to any country loving person.",positive
"In Holland a gay writer Gerard (Jeroen Krabbe) gives a lecture. He stays overnight with a beautiful woman Christine (Renee Soutendijk) and has sex with her (by imagining she's a boy). He plans to leave the next day, but gets a look at a picture of Christine's hunky boyfriend Herman (Thom Hoffman) and decides to stay to have a try at him. Then things get strange.<br /><br />A big X-rated art house hit in the US in 1983. Why was it X rated? Let's see...there's strangulation, full frontal male and female nudity, castration, mutilation, simulated sex, a scene in a church with a cross that will shock most people, a gay sex scene in a crypt...and it's all a comedy!!!!! Paul Verhoeven made this after ""Spetters"". ""Spetters"" was attacked by the critics for it's extreme sexual sequences and denounced as trash. So, Verhoeven filled this film with very obvious symbolism thinking the critics would think it was art and praise it. He was right! Critics loved the film not realizing that Verhoeven was playing a big joke on them. Still, it's a great film. <br /><br />It's beautifully shot by Jan de Bont (now a director himself) and there's so much symbolism and obvious ""hidden"" layers in the dialogue that you're never bored. All the acting is great--Krabbe plays a thoroughly despicable character but (somehow) has you rooting for him; Soutendijk is just stunning to look at and plays her part to perfection--the little smile she gives when Gerard agrees to stay with her is chilling; Hoffman is extremely handsome with a great body--he deserves credit for doing the church sequence and going at with Krabbe in the crypt.<br /><br />This is not for people easily offended or the weak of heart, but if you like extreme movies that playfully challenge you (like me) this is for you! A 10 all the way.",positive
"Lovingly crafted and terribly interesting to watch Garfield's gritty, breakthrough performance (introducing a new kind of rebellious acting style that would carry over to the Brandos and Clifts and so on after the war) but all that sisterly affection is a bit suffocating. Priscilla Lane is a bright, engaging performer but the other sisters don't really register (though they're all allowed to be tart and witty) and I just had a hard time buying any of the other male characters besides Garfield. Jeffrey Lynn is a pleasant enough actor, but he lacks the movie star weight to match up with Garfield's hard luck Mickey Borden and that throws the film a bit out of whack. (Imagine a Jimmy Stewart or someone in the part.) Also, I was not convinced that Garfield would make the pivotal (to say the least) final decision that he made. The film needed another half hour of running time to better explain that action; it feels awfully rushed and under-motivated.<br /><br />Still, it's not hard to understand how anybody who grew up with this picture would remember it fondly. It falls short of being a classic, but it does contain a few classic moments. The two gate swinging scenes are pure movie magic.",positive
"That is what this movie is. Good God the special effects suck in this movie. It is difficult for anything to suck more than this movie's plot, but the special effects manage to pull it off. Let me try to explain just how bad this movie is.<br /><br />First, there is the plot. There are four punk-ass teenage dirt bikers who are riding around in a forest in Duluth, MN. One of them is a dumb-ass and tries a ridiculous jump and breaks his leg. A paramedic comes to help him, but gets stranded with them when the helicopter breaks. Then all five realize that there is a forest fire, which we see is started by some guy dumping tons of gas all over the forest. All they show us is his boots, and they show scene after scene of this guys boots walking around dumping gas and starting fires. Meanwhile, the teenagers try to escape the fire, only to find that boot man has somehow managed to get ahead of them (while they were speeding through the forest on dirt bikes!), dump gas all over the area they were riding through, and start more fires. He does this several times, and the paramedic finally catches him and starts him on fire. I won't spoil the ending, but this guy's resilience will have you shouting ""WHAT THE BLOODY HELL?!?!"" at the screen. Anyway, they are now surrounded by fire, and their only escape is through a mine which is filled with methane gas. Yes, methane gas. I'm not even going to try to describe the ending, because it is too ridiculous, and you'll enjoy it more if you don't see it coming. Which you won't, because you can't possibly expect what happens. This is because of the second major problem with this movie: consistency.<br /><br />Is some semblance of consistence too much to ask for? Apparently so. I cannot even count the number of broken limbs in this movie (they keep breaking arms and legs while crashing their bikes). I think each character breaks at least one limb, and several more than one. They then limp around until the scene ends, and then forget that they're supposed to have broken limbs. There is one scene where three of them who are supposed to have broken legs start dancing. But then their injuries suddenly return when the plot needs them to.<br /><br />Finally, the CGI. If there is a hell, it consists of watching the fire in this movie. All they did for the forest fires is line the dirt paths with CGI fire. You can clearly see that the only CGI fire is along the paths, and all of the trees more than two feet from the path are left untouched. And then they zoom out and show the whole forest being engulfed in flames. It's hard to describe in words how ridiculous it looks, but I assure you that the ridiculousness is quite impressive.<br /><br />This movie is one of those so-bad-its-good types. There are some occasions where it descends into the painful-bad category, but for the most part it stays above the line and is laughably inept. I can't wait to check out the other Nature Unleashed movies that came in the four-pack with this one.",negative
"Of course, how could he. He obviously co-opted several aspects from that excellent movie, which was also based on the sensational French case of the self-described ""doctor in the World Health Organization"" who murdered his family and himself when finally unmasked as a fraud. Emilio refers to his son as ""monster,"" he sings to the radio in his car, he hangs out on park benches, and he specializes in investment schemes to defraud his family and friends -- all of this and more directly lifted from ""Time Out,"" which came out the year before ""Nobody's Life."" It's too bad because this movie is pretty good on its own, with good acting and writing. Whereas Vincent from ""Time Out"" is a much more subtle character who seems to have a sense of ethics even though at times it gets twisted into knots, the protagonist here seems devoid of any character at all save for his winning looks and charm. Seriously, the part where he used X-rays that show his mother-in-law's cancer to bilk more money from his father, then utilizes a subtle twist on the same scam to avoid eviction from his fancy home for failing to pay the lease on time -- it's almost too much. The guy has no shame whatsoever, In fact, he's more like the lead in ""Stepfather"" than some poor schmuck who gets fired and is so humiliated that he can't face the disappointment of his family and friends and feels forced to invent a shiny new life for himself, as Vincent did in ""Time Out."" Thus, one could feel the tension mounting in ""Nobody's Life"" and the violent conclusion coming. One thing ""Nobody's Life"" has that ""Time Out"" definitely lacked was a love interest apart from the protagonist's trusting wife. It's not hard to understand how the sexy babysitter was able to fascinate and ensnare Emile to the degree that he ignored the danger of her natural curiosity and allowed it to lay bare his less than carefully constructed con. Given the reservations mentioned, this is a pretty good movie that we found entertaining. If you long for something touching on similar elements that goes a might deeper and is more intellectually and spiritually satisfying, I strongly suggest ""Time Out.""",positive
"I bought this movie sight unseen at a sci-fi convention and I got what I deserved for doing something so silly. Simply put this movie is implausible, boring and unwatchable.<br /><br />I was so bored and disgusted with the lack of plot development that I turned it off to watch a repeat of Mythbusters. I understand that this was a very low budget move, or least it looked like a very low budget move, but that does not excuse the horrible acting, terrible plot and even worse camera work. It looks like something a group of college students did in between classes and getting drunk.<br /><br />Maybe if the villain wasn't so laughable and the plot was something that actually could happen in real life with respect to law enforcement it might become so bad it's funny. This movie isn't funny, it's just bad.",negative
"Apartmente'L is one of the most interesting movies that I have ever seen. I experienced extreme frustration while watching this movie as I was gunning for the two leads to reunite. That never happened in the end which disappointed me to no end. But the ending lends an even more cynical touch to a generally cynical movie. It is not a movie which people are likely to rewatch but one watch itself will have a deep impact on people. As of now I haven't rewatched the movie and I don't think I will.<br /><br />The story follows the experiences of a man, Max, who is engaged to be married to Muriel. He remembers his old girlfriend Lisa(he considers this the love of his life) as he listens, by accident, to Lisa talking on the telephone. Thus he tries to find Lisa. Here starts his extremely frustrating search for Lisa. There are many layers to this movie. There are undercurrents of jealousy, vouyeurism and so on. There is also another character called Alice who is involved in the whole confusion. The movie then moves through a whole range of twists and finally leads to an ending which could be interpreted in many ways. It is fascinating how this movie has only four main characters but the clever writing makes it interesting and unique. What I love about the fact is that a movie about obsession, jealousy is done in such a light hearted manner. It has a very fast pace which is probably the reason why it can appeal to a large audience. The main character, Max, has shades of grey and I felt the ending was perfect. I don't think he is supposed to be a clean character considering the fact he is searching for his long lost love while he is engaged and he also has a fling with Alice.<br /><br />The character of Alice is even worse. Her manipulation and her compulsive lying can really irritate viewers(that is the point, I guess). The scene where she breaks down in front of Lucien really shows another facet of her character. It shows a side of her that wants to be accepted and that she is tired of all the lying and the games and she wants to lead a normal life. In the end, she understands that she needs to get away from it all. The ending lends a cynical touch. Because it seems as if Max's love for Alice is temporary and fake. It is as if to say that love in general is a temporary emotion and it is better to choose the safe option(i.e Muriel) than to pursue something that is so fleeting(i.e Lisa or Alice). In many ways this is not really a romantic movie but a satire about romance(in a way).<br /><br />The performances deserve high praise. Vincent Cassel as Max gives a great performance. He perfectly portrays the confusion of a man who is not really sure about his engagement. His geeky looks are an added advantage as it fits the character perfectly. But the real star of the movie is Romane Bohringer as Alice. Her nuanced portrayal of a woman who is jealous of Alice and is in love with Max. The scene where she screams ""I am a nutcase too"" really shows her desperation and her yearning to live a normal life with a man who loves her.<br /><br />Btw I also thought lesbianism is another interpretation that can be drawn from this movie. Alice's actions can be explained in many ways. And her unreasonable obsession with Lisa may also be explained as a manifestation of a lesbian desire. It may be far-fetched considering she encourages Lisa to forgive her current boyfriend. But I got the feeling that she was a lesbian for a long time. She also avoids questions from Lisa regarding a boyfriend. She spends a whole lot of time with Lisa and she is happy during that time. That may lead many to question her sexual orientation.<br /><br />Overall I would give it a 9/10. I think it deserves it but I subtracted one because of the rewatchability factor. I think it is a perfect movie otherwise.",positive
